SEED;COMANDO;Felicitat 0;Felicitat 5;Felicitat 10;Felicitat 15;Felicitat 20
1;100 1234 1,2 1 0 0;1101,2;1172,4;1230,4;1188,77;1190,59
2;100 1234 1,2 1 0 0;1049,87;1121,47;1158,61;1173,77;1166,17
3;100 1234 1,2 1 0 0;998,89;1031,62;1051,68;1044,28;1037,86
4;100 1234 1,2 1 0 0;1086,55;1127,04;1194,66;1214,93;1197,49
5;100 1234 1,2 1 0 0;890,16;979,98;985,98;988,38;994,91
6;100 1234 1,2 1 0 0;985,16;1038,41;1044,28;1071,22;1034,4
7;100 1234 1,2 1 0 0;879,32;949,95;975,77;993,66;1001,99
8;100 1234 1,2 1 0 0;1072,78;1112,85;1166,94;1180,88;1157,97
9;100 1234 1,2 1 0 0;1041,45;1128,44;1215,91;1211,57;1219,01
10;100 1234 1,2 1 0 0;1073,22;1140,76;1169,41;1178,55;1186,62
;;1045,66;1117,16;1162,775;1176,16;1162,07
