SEED;COMANDO;COSTE;tiempo
1234;100 1234 1,2 1 0 0;794.675;207
1234;100 1234 1,2 1 0 0;794.675;210
1234;100 1234 1,2 1 0 0;794.675;209
1234;100 1234 1,2 1 0 0;794.675;207
1234;100 1234 1,2 1 0 0;794.675;205
1234;100 1234 1,2 1 0 0;794.675;205
1234;100 1234 1,2 1 0 0;794.675;209
1234;100 1234 1,2 1 0 0;794.675;205
1234;100 1234 1,2 1 0 0;794.675;208
1234;100 1234 1,2 1 0 0;794.675;209
